impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-104476,A545103,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545103,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Unaltered,Domestic Shorthair,Brn Tabby / White,11/03/2017 12:00:00 AM,Received on,24800 38TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545103,Image Copyright HLP Inc. 2017,"24800 38TH AVE S
KENT, WA 98032
","Received on: 2017-11-03<p></p> Found Near: 24800 38TH AVE S, KENT WA 98032<p></p> Description: Brn Tabby / White Unaltered Domestic Shorthair Cat<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104370,A544457,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A544457,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Marck,Dog,5 YEARS,Neutered Male,Akita / Mix,Br Brindle / Black,10/30/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A544457,Image Copyright HLP Inc. 2017,,"Received on: 2017-10-30<p></p> Description: Br Brindle / Black<p></p>  Neutered Male Akita / Mix Dog<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Marck and I am available for adoption.<p></p><p></p><p></p>I was brought in by an Animal Control Officer on 10/30/17.<p></p><p></p><p></p>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p></p><p></p><p></p><p></p>I am an independent dog who likes to do my own thing!<p></p><p></p><p></p><p></p>My caregivers have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p></p><p></p><p></p>Because of my shy nature, I would do best in a calm, quiet home.<p></p><p></p>I would do best in a home with older children.<p></p> Adoption Fee: $175.00<p></p>"
K17-097442,A472771,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Felix,Cat,14 YEARS 2 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby,03/21/2017 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A472771,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2017-03-21<p></p> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p></p> Age: 14 YEARS 2 MONTHS<p></p> Current Location: In RASKC Foster Home <p></p>Hi!  My name is Felix and I am available for adoption at the RASKC Pet Adoption Center in Kent.<p></p><p></p>I was brought in by my previous owner on 03/21/2017 because I was not doing well with a new baby at home.  I lived in a home with young/older children.  My previous owner described me as vocal and active.<p></p><p></p>My personality color is GREEN.  I am an adaptable cat who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p></p><p></p>Adoption Fee: $30.00<p></p>"
K17-104526,A545173,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Bird,NO AGE,Unaltered,Owl,Gray,11/05/2017 12:00:00 AM,Received on,6700 NE 185TH ST,KENMORE,WA,98028,KENMORE,47.763028,-122.251122,,Image Copyright HLP Inc. 2017,"6700 NE 185TH ST
KENMORE, WA 98028
(47.763028, -122.251122)","Received on: 2017-11-05<p></p> Found Near: 6700 NE 185TH ST, KENMORE WA 98028<p></p> Description: Gray Unaltered Owl Bird<p></p> Age: NO AGE<p></p>"
K17-104603,A545558,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545558,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Unaltered,Domestic Shorthair,Gray,11/06/2017 12:00:00 AM,Received on,20500 SE PETROVITSKY RD,MAPLE VALLEY,WA,98038,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545558,Image Copyright HLP Inc. 2017,"20500 SE PETROVITSKY RD
MAPLE VALLEY, WA 98038
","Received on: 2017-11-06<p></p> Found Near: 20500 SE PETROVITSKY RD, MAPLE VALLEY WA 98038<p></p> Description: Gray Unaltered Domestic Shorthair Cat<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104559,A540110,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A540110,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Scorpio,Dog,11 YEARS 1 MONTH,Neutered Male,Chihuahua - Smooth Coated,Brown,11/06/2017 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A540110,Image Copyright HLP Inc. 2017,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2017-11-06<p></p> Description: Brown<p></p>  Neutered Male Chihuahua - Smooth Coated Dog<p></p> Age: 11 YEARS 1 MONTH<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi! My name is Scorpio and I am available for adoption.<p></p><p></p>I was brought in by my previous owner on 9/28/17 because they were unable to afford to care for me. I lived in a home with children. My previous owner described me as shy.<p></p><p></p>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend! I would do best to go to a home with no young children.<p></p><p></p>My caregivers have noticed that I seem to do well with other small dogs that know how to give me my space. When meeting dogs in a new home, I would do best with a slow introduction.<p></p><p></p>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p></p><p></p>1)     Previous histiocytoma below the right eye.  This growth has resolved.<p></p><p></p>2)     Reverse sneezing.<p></p><p></p>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p></p><p></p>- Special diet or prescription foods<p></p>- Prescription or over-the-counter medicines<p></p>- Special skin care or shampoos<p></p>- Regular veterinarian visits, which may include blood tests or other monitoring<p></p>- Possible surgery or other procedures as determined by your veterinarian<p></p><p></p> Adoption Fee: $150.00<p></p>"
K17-103157,A539523,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A539523,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Scorpio,Cat,5 MONTHS,Spayed Female,Domestic Shorthair,Black,09/22/2017 12:00:00 AM,Received on,500 OLD ARDEN HWY,COLVILLE,WA,99114,OTHER,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A539523,Image Copyright HLP Inc. 2017,"500 OLD ARDEN HWY
COLVILLE, WA 99114
","Received on: 2017-09-22<p></p> Found Near: 500 OLD ARDEN HWY, COLVILLE WA 99114<p></p> Description: Black Spayed Female Domestic Shorthair Cat<p></p> Age: 5 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-101227,A533840,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A533840,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Annette,Cat,2 YEARS 3 MONTHS,Spayed Female,Domestic Shorthair,Black / White,08/13/2017 12:00:00 AM,Received on,17000 34TH AVE S,SEATAC,WA,98188,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A533840,Image Copyright HLP Inc. 2017,"17000 34TH AVE S
SEATAC, WA 98188
","Received on: 2017-08-13<p></p> Found Near: 17000 34TH AVE S, SEATAC WA 98188<p></p> Description: Black / White Spayed Female Domestic Shorthair Cat<p></p> Age: 2 YEARS 3 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-103340,A450268,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A450268,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cher,Cat,10 YEARS,Spayed Female,Domestic Shorthair,Brn Tabby,09/28/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A450268,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-09-28<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p></p> Age: 10 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-103858,A542505,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A542505,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Morpheus,Cat,13 YEARS,Neutered Male,Domestic Shorthair,Black,10/13/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A542505,Image Copyright HLP Inc. 2017,,"Received on: 2017-10-13<p></p> Description: Black<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 13 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Morpheus and I am available for adoption.  I was brought in by my previous owner on October 13, 2017 with my friend Nox #A234716 because I was having litterbox issues after my owner began travelling more and there was construction going on in the house.  I lived in a home with another cat.  My previous owner described me as loving and friendly.  Once I warm up, I am an affectionate lovebug who would be thrilled to cuddle up with you at home!  My caregivers have noticed that I seem to do well with other cats.  When meeting cats in a new home, I would do best with a slow introduction.  My personality color is GREEN.  I am an adaptable cat who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!  I do have some medical issues that may require specialized care.  Abnormally dilute urine that may indicate early kidney issues.  I also have a low grade heard murmur, as well as some moderate dental issues.  The officers and veterinarians at the shelter will be happy to answer any questions you may have when you come visit me.  I can't wait to meet you!<p></p> Adoption Fee: $30.00<p></p>"
K17-104508,A520115,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A520115,"Covington Petco 27111 167TH PL SE COVINGTON, WA 98042",Willow,Cat,6 YEARS,Spayed Female,Domestic Shorthair,White,11/04/2017 12:00:00 AM,Received on,27111 167TH PL SE,COVINGTON,WA,98042,COVINGTON,47.358606,-122.118905,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A520115,Image Copyright HLP Inc. 2017,"27111 167TH PL SE
COVINGTON, WA 98042
(47.358606, -122.118905)","Received on: 2017-11-04<p></p> Description: White<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 6 YEARS<p></p> Current Location: Covington Petco 27111 167TH PL SE COVINGTON, WA 98042<p></p>Hi! My name is Willow and I am available for adoption.<p></p><p></p>I was brought in by my previous owner on 11/4/17 because they could no longer care for me. I lived in a home with dogs and children.<p></p><p></p>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p></p><p></p> I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p><p></p><p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-104146,A543534,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A543534,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Henry,Cat,4 YEARS,Neutered Male,Domestic Shorthair,Gray / White,10/23/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A543534,Image Copyright HLP Inc. 2017,,"Received on: 2017-10-23<p></p> Description: Gray / White<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 4 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Henry and I am available for adoption.  I was brought in by a good samaritan on 10/23/17.  My personality color is BLUE.  I am a gentle and loving cat who likes to take things slow.  I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up.   Once I get to know you, I will be a very devoted friend!  I am an independent kitty who likes to do my own thing!  I like getting attention on my own terms.  I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.  Because of my shy nature, I would do best in a calm, quiet home.  I have been diagnosed with a heart murmur which may require specialized care.  The officers and veterinarians at the shelter will be happy to answer any questions you may have when you come visit me.<p></p> Adoption Fee: $30.00<p></p>"
K17-104571,A545189,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545189,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Vixen,Cat,1 YEAR 6 MONTHS,Spayed Female,Domestic Longhair,Org Tabby,11/06/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545189,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-11-06<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Org Tabby Spayed Female Domestic Longhair Cat<p></p> Age: 1 YEAR 6 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104590,A545210,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A545210,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,6 WEEKS,Male,Domestic Longhair,Org Tabby,11/06/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A545210,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-11-06<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Org Tabby Male Domestic Longhair Cat<p></p> Age: 6 WEEKS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-104240,A544080,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1787036,LOST,Lucky,Cat,,Female,Domestic Shorthair,Unknown,10/23/2017 12:00:00 AM,Date Lost,NE 158TH STREET & 74TH AVENUE NE,KENMORE,WA,98028,KENMORE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1787036,Image Copyright HLP Inc. 2017,"NE 158TH STREET &amp; 74TH AVENUE NE
KENMORE, WA 98028
",
K17-103857,A234716,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A234716,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Nox,Cat,10 YEARS,Neutered Male,Domestic Shorthair,Black / White,10/13/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A234716,Image Copyright HLP Inc. 2017,,"Received on: 2017-10-13<p></p> Description: Black / White<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 10 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Nox and I am available for adoption.  I was brought in by my previous owner on October 13, 2017 with my friend Morpheus #A542505 because I was having litterbox issues in the home after my owner began to travel more often.  I lived in a home with another cat.  My previous owner described me as shy but loving once I am comfortable.  Once I warm up, I am an affectionate lovebug who would be thrilled to cuddle up with you at home!  My caregivers have noticed that I seem to do well with other cats.  When meeting cats in a new home, I would do best with a slow introduction.  Because of my shy nature, I would do best in a calm, quiet home.  My personality color is BLUE.  I am a gentle and loving cat who likes to take things slow.  I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up.  Once I get to know you, I will be a very devoted friend!  I do have some medical issues that may require specialized care in the future.  I have a heart murmur and some moderate dental issues.  The officers and veterinarians will be happy to answer any questions you may have when you come visit me.  See you soon!<p></p> Adoption Fee: $30.00<p></p>"
K17-103016,A539179,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A539179,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 MONTHS,Neutered Male,Domestic Shorthair,Chocolate / Blk Smoke,09/19/2017 12:00:00 AM,Received on,5000 S 310TH PL,AUBURN,WA,98001,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A539179,Image Copyright HLP Inc. 2017,"5000 S 310TH PL
AUBURN, WA 98001
","Received on: 2017-09-19<p></p> Found Near: 5000 S 310TH PL, AUBURN WA 98001<p></p> Description: Chocolate / Blk Smoke Neutered Male Domestic Shorthair Cat<p></p> Age: 4 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-103132,A539544,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A539544,Meowtropolitan,Hope,Cat,8 YEARS 1 MONTH,Spayed Female,Domestic Shorthair,Black / White,09/22/2017 12:00:00 AM,Received on,15700 SE 167TH PL,RENTON,WA,98058,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A539544,Image Copyright HLP Inc. 2017,"15700 SE 167TH PL
RENTON, WA 98058
","Received on: 2017-09-22<p></p> Found Near: 15700 SE 167TH PL, RENTON WA 98058<p></p> Description: Black / White Spayed Female Domestic Shorthair Cat<p></p> Age: 8 YEARS 1 MONTH<p></p> Current Location: Meowtropolitan<p></p>"
